# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulDokument/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulDokument/Release-Notes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match 'releasenotes' -> changes (routing-table)
MIIIGModulDokument/Beschreibung.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulDokument/Kontext-Bezuege.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
MIIIGModulDokument/Referenzen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'referenzen' -> implementer-guidance (routing-table)
MIIIGModulDokument/HinweisTemplate.page.md	RETIRED	orphan Simplifier authoring stub [MAP-EDIT: 4 words, not in toc, contains the {{render:HereBeDragons}} error artifact - not module content]	5	orphan; preserved in implementation-guides/ until Gate D
MIIIGModulDokument/AnwendungsflleInformationsmodell/Index.page.md	RETIRED	13-word navigation stub [MAP-EDIT: all 3 children routed to template pages (guidance/logical-models/uml-diagrams); a hub would hold nothing]	5	stub; children have homes
MIIIGModulDokument/AnwendungsflleInformationsmodell/Szenarien.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
MIIIGModulDokument/AnwendungsflleInformationsmodell/Datensaetze.page.md	input/pagecontent/logical-models.md	semantic home per references/routing-table.tsv	3	semantic match 'datensaetze' -> logical-models (routing-table)
MIIIGModulDokument/AnwendungsflleInformationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulDokument/TechnischeImplementierung/Index.page.md	RETIRED	12-word navigation stub [MAP-EDIT: all 5 children routed; a hub would hold nothing]	5	stub; children have homes
MIIIGModulDokument/TechnischeImplementierung/Conformance.page.md	input/pagecontent/implementer-guidance.md	template >=v0.8 retires the Conformance cluster to link-only menu entries (spec 9a); module-specific conformance prose re-routes [MAP-EDIT]	3	491 words; KDS-wide rules stay behind the meta-wiki menu links
MIIIGModulDokument/TechnischeImplementierung/Kompatibilitaet.page.md	input/pagecontent/kompatibilitaet.md	cross-cutting narrative - own page (merged prose, pages:-nested)	4	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulDokument/TechnischeImplementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulDokument/TechnischeImplementierung/Terminologien.page.md	input/pagecontent/code-systems.md	semantic home per references/routing-table.tsv	3	semantic match 'terminologien' -> code-systems (routing-table)
MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Index.page.md	input/pagecontent/profiles.md	family overview - section on the profiles index page [MAP-EDIT: 672-word data-element table = profile-family overview, branch 2]	2	26-row element table + profile list
MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	input/intro-notes/StructureDefinition-mii-pr-dokument-dokument-intro.md	content about one artefact - its intro note [MAP-EDIT: advice missed the anchor - page name tokens 'dokument-documentreference' vs id mii-pr-dokument-dokument]	1	791 words about the profile; renders atop its artifact page
MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/NLP-Processing-Status-Extension.page.md	input/intro-notes/StructureDefinition-mii-ex-dokument-nlp-processing-status-intro.md	content about one artefact - its intro note	1	tokens match on mii-ex-dokument-nlp-processing-status (3 candidate artefacts)
index.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
binaries/**	RETIRED	byte-duplicates of input/fsh/examples/alzheimer/attachments/* (canonical copies carried with the FSH) [MAP-EDIT: measured duplicate names]	5	dir version -, guide.yaml version -, lang -, 0 page file(s); authoritative: mii-ig-dokument-de
images/**	input/images/	guide assets REFERENCED by migrated narrative [MAP-EDIT: 5 referenced PNGs + NLP-Pipeline.svg source + Warning.jpg; Blockdiagramm.png is referenced-but-DELETED upstream - reference dropped with the page content, known R7 trap]	1	6 png + 1 svg + 1 jpg at implementation-guides/images/
